,SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR(PPM)
543,52.86,16.43,7.57,8.87,10.05,2.68,0.47,0.79,0
544,52.35,15.03,7.88,10.18,9.6,2.95,0.9,0.77,0
545,52.23,16.5,7.83,9.3,9.72,2.55,0.77,0.8,0
546,51.2,15.91,8.32,10.61,9.95,2.41,0.44,0.87,0
547,49.4,16.07,8.87,11.16,10.65,2.21,0.52,0.84,0
548,48.77,15.38,9.21,12.87,10.05,1.78,0.58,0.93,0
549,48.64,15.31,8.81,11.83,10.95,2.49,0.64,0.99,0
550,48.64,14.9,8.86,12.14,11.13,2.38,0.64,0.97,0
551,48.33,15.26,9.38,9.99,12.71,2.17,0.81,1.02,0
552,48.22,14.99,9.17,10.16,12.79,2.44,0.82,1.05,0
553,48.2,13.67,9.19,13.02,11.84,2.11,0.76,0.89,0
554,48.2,15.9,9.02,12.44,10.68,2.26,0.26,0.96,0
555,48.19,15.09,9.19,10.17,12.82,2.35,0.8,1.04,0
556,48.19,13.67,9.19,13.02,11.83,2.11,0.76,0.9,0
557,48.19,15.61,9.51,12.7,10.3,1.77,0.55,0.95,0
558,48.17,15.09,9.3,13.36,11.31,1.1,0.43,0.95,0
559,48.01,15.43,9.72,10.66,11.91,2.46,0.5,1.01,0
560,47.97,15.93,9.13,12.71,10.47,2.28,0.28,0.95,0
561,47.95,14.24,8.94,13.56,11.73,2.1,0.37,0.84,0
562,47.82,13.64,9.13,12.85,12.57,2.05,0.76,0.79,0
563,47.81,13.61,9.24,15.06,10.47,2.17,0.5,0.83,0
564,47.78,16.82,8.43,10.27,10.89,3.13,1.2,1.02,0
565,47.76,17.76,8.7,10.01,11.06,2.75,0.72,0.88,0
566,47.55,13.74,9.42,14.64,10.96,2.11,0.43,0.89,0
567,47.54,16.68,8.38,12.17,10.82,2.88,0.37,0.8,0
568,47.39,14.07,9.09,14.68,11.15,2.04,0.42,0.89,0
569,47.32,14.07,9.52,15.01,10.52,1.82,0.43,0.85,0
570,47.28,14.78,9.27,14.24,10.94,1.94,0.41,0.87,0
